
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem 2013_firL1Linfalph from pass dataset ...
[Matrices A]
	block 1: 20903 x 119412, norm  = 4.0299e+04, sparcity = 3.1880e-02
	total: 20903 x 119412, norm = 4.0299e+04, sparcity = 3.1880e-02
[Cone]
	block 1: 'q' [ 3 3 3 3 3 ... 3 3 3 3 3 ]
		(Cartesian product of 39804 cones with sizes ranging from 3 to 3)
System_opt = 2
Number of dense rows: 1001
Number of sparse rows: 19902
Number of dense columns (new At): 0
Number of sparse columns (new At): 180119
Number of non-zero elements in lhs_structure: 19902
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   33 1.0e+00 -3.2e+00 -3.4e+00 2.3e-02 2.6e-04 2.0e-04 3.5e-04 1.1e-06 3.1e-04 3.4e-16 5.1e-16 2.8e-10 5.9e-01 
   34 1.0e+00 -3.2e+00 -3.4e+00 2.1e-02 1.4e-04 1.5e-04 2.5e-04 1.1e-06 2.5e-04 4.1e-16 4.5e-16 2.8e-10 5.9e-01 
   35 1.0e+00 -3.2e+00 -3.4e+00 2.1e-02 6.3e-05 2.6e-04 4.5e-04 5.5e-07 1.5e-04 8.1e-16 8.9e-16 2.8e-10 5.9e-01 
   36 1.0e+00 -3.2e+00 -3.4e+00 2.2e-02 9.7e-06 7.1e-05 1.2e-04 1.5e-06 2.9e-04 7.6e-17 2.5e-16 2.8e-10 1.0e+00 
   37 1.0e+00 -3.2e+00 -3.4e+00 2.3e-02 2.9e-06 6.4e-05 1.1e-04 2.8e-07 1.2e-04 6.0e-16 8.6e-16 1.7e-10 7.3e-01 
   38 1.0e+00 -3.2e+00 -3.3e+00 1.3e-02 5.3e-06 5.0e-03 8.7e-03 7.5e-08 3.4e-05 4.8e-15 5.3e-15 1.0e-10 5.9e-01 
   39 1.0e+00 -3.3e+00 -3.3e+00 7.1e-03 2.0e-04 1.0e-04 1.7e-04 8.8e-06 2.9e-04 1.7e-16 1.3e-15 1.0e-10 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   40 1.0e+00 -3.3e+00 -3.3e+00 6.2e-03 8.4e-05 5.4e-04 9.3e-04 1.2e-07 4.3e-05 2.8e-15 6.2e-15 1.0e-10 5.9e-01 
   41 1.0e+00 -3.3e+00 -3.3e+00 7.0e-03 3.4e-06 4.1e-05 7.1e-05 9.9e-07 1.3e-04 1.1e-16 3.8e-16 1.0e-10 1.0e+00 
   42 1.0e+00 -3.3e+00 -3.3e+00 7.3e-03 2.0e-07 4.0e-05 7.0e-05 3.4e-06 8.7e-05 2.1e-16 2.3e-16 6.1e-11 1.0e+00 
   43 1.0e+00 -3.3e+00 -3.3e+00 3.8e-03 1.8e-05 9.6e-04 1.7e-03 1.0e-06 2.6e-05 2.2e-15 2.5e-15 3.7e-11 5.9e-01 
   44 1.0e+00 -3.3e+00 -3.3e+00 7.1e-05 1.5e-05 7.7e-04 1.3e-03 5.6e-07 5.0e-05 5.7e-16 2.2e-15 3.7e-11 8.1e-01 
   45 1.0e+00 -3.3e+00 -3.3e+00 6.7e-04 5.4e-06 8.2e-04 1.1e-03 6.7e-07 6.9e-05 2.0e-15 9.4e-15 3.7e-11 5.9e-01 
   46 1.0e+00 -3.3e+00 -3.3e+00 1.4e-03 4.6e-07 2.9e-04 3.1e-04 4.1e-07 1.1e-04 2.0e-15 2.1e-15 3.7e-11 1.0e+00 
   47 1.0e+00 -3.3e+00 -3.3e+00 1.5e-03 1.6e-07 1.3e-05 2.1e-05 5.3e-08 1.0e-04 1.2e-15 1.3e-15 3.7e-11 1.0e+00 
   48 1.0e+00 -3.3e+00 -3.3e+00 1.7e-03 4.8e-07 2.7e-05 4.7e-05 7.3e-07 2.8e-05 1.6e-15 4.4e-15 2.2e-11 7.3e-01 
   49 1.0e+00 -3.3e+00 -3.3e+00 3.7e-04 5.5e-06 2.0e-04 2.8e-04 8.7e-07 2.4e-05 9.4e-16 3.1e-15 2.2e-11 5.9e-01 
   50 1.0e+00 -3.3e+00 -3.3e+00 1.1e-03 2.1e-06 7.0e-03 7.2e-03 7.1e-08 2.8e-05 2.0e-15 2.2e-15 2.2e-11 5.9e-01 
   51 1.0e+00 -3.3e+00 -3.3e+00 6.6e-04 5.1e-07 6.3e-04 7.3e-04 2.6e-07 1.8e-04 2.5e-15 2.6e-15 2.2e-11 1.0e+00 
   52 1.0e+00 -3.3e+00 -3.3e+00 6.8e-04 3.8e-07 3.7e-05 6.3e-05 1.8e-07 1.0e-04 6.6e-15 6.6e-15 2.2e-11 1.0e+00 
   53 1.0e+00 -3.3e+00 -3.3e+00 9.4e-04 7.0e-07 2.7e-05 4.7e-05 1.0e-06 2.7e-05 7.7e-15 7.8e-15 2.2e-11 1.0e+00 
   54 1.0e+00 -3.3e+00 -3.3e+00 1.2e-03 1.1e-07 2.3e-05 3.9e-05 6.0e-07 1.7e-05 1.4e-15 2.1e-15 1.3e-11 9.0e-01 
   55 1.0e+00 -3.3e+00 -3.3e+00 5.9e-04 9.2e-08 4.7e-05 8.1e-05 3.9e-07 1.1e-05 4.9e-15 5.2e-15 1.3e-11 5.9e-01 
   56 1.0e+00 -3.3e+00 -3.3e+00 5.6e-04 1.2e-07 4.3e-06 7.5e-06 8.8e-07 2.1e-05 1.8e-15 1.8e-15 1.3e-11 1.0e+00 
   57 1.0e+00 -3.3e+00 -3.3e+00 7.3e-04 4.8e-08 2.0e-04 3.5e-04 6.3e-08 3.1e-06 5.6e-15 6.6e-15 7.9e-12 5.9e-01 
   58 1.0e+00 -3.3e+00 -3.3e+00 3.7e-04 1.6e-08 1.2e-04 2.1e-04 2.8e-08 6.4e-06 5.4e-15 1.2e-14 7.9e-12 7.3e-01 
   59 1.0e+00 -3.3e+00 -3.3e+00 5.8e-04 1.1e-09 9.0e-06 1.6e-05 2.5e-08 7.8e-06 3.1e-14 2.4e-14 7.9e-12 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   60 1.0e+00 -3.3e+00 -3.3e+00 7.0e-04 3.5e-09 1.5e-05 2.7e-05 1.5e-07 6.2e-06 8.5e-16 8.8e-16 4.7e-12 1.0e+00 
   61 1.0e+00 -3.3e+00 -3.3e+00 3.3e-04 8.6e-09 5.0e-06 9.0e-06 1.5e-07 5.1e-06 3.5e-15 5.9e-15 4.7e-12 8.1e-01 
   62 1.0e+00 -3.3e+00 -3.3e+00 4.5e-04 1.3e-09 1.2e-05 2.2e-05 1.2e-07 5.4e-06 6.7e-16 3.2e-15 2.8e-12 1.0e+00 
   63 1.0e+00 -3.3e+00 -3.3e+00 1.8e-04 6.6e-09 4.8e-06 8.4e-06 1.4e-07 5.0e-06 2.7e-15 1.2e-14 2.8e-12 9.0e-01 
   64 1.0e+00 -3.3e+00 -3.3e+00 2.9e-04 2.6e-09 1.0e-05 1.8e-05 1.2e-07 5.6e-06 1.0e-15 1.3e-14 1.7e-12 1.0e+00 
   65 1.0e+00 -3.3e+00 -3.3e+00 2.8e-05 1.4e-08 5.9e-06 1.0e-05 2.8e-07 1.1e-05 1.3e-15 2.5e-15 1.7e-12 1.0e+00 
   66 1.0e+00 -3.3e+00 -3.3e+00 1.8e-04 7.1e-09 8.1e-06 1.4e-05 3.1e-07 1.3e-05 4.5e-16 4.6e-15 1.0e-12 1.0e+00 
   67 1.0e+00 -3.3e+00 -3.3e+00 5.7e-05 2.4e-08 3.8e-06 6.6e-06 5.5e-07 2.2e-05 6.3e-16 2.7e-15 1.0e-12 1.0e+00 
   68 1.0e+00 -3.3e+00 -3.3e+00 1.1e-04 1.2e-08 6.8e-06 1.2e-05 5.3e-07 2.6e-05 3.1e-16 2.0e-14 6.1e-13 1.0e+00 
   69 1.0e+00 -3.3e+00 -3.3e+00 1.4e-04 4.0e-08 3.9e-06 6.8e-06 1.1e-06 4.8e-05 2.5e-16 5.0e-16 6.1e-13 1.0e+00 
   70 1.0e+00 -3.3e+00 -3.3e+00 2.2e-05 2.9e-09 4.8e-06 8.4e-06 1.2e-06 6.0e-05 1.1e-16 2.1e-16 3.7e-13 5.9e-01 
   71 1.0e+00 -3.3e+00 -3.3e+00 1.7e-04 5.3e-08 1.3e-06 2.3e-06 2.0e-06 9.6e-05 9.2e-17 4.5e-15 3.7e-13 1.0e+00 
   72 1.0e+00 -3.3e+00 -3.3e+00 6.5e-05 6.2e-09 4.5e-06 7.9e-06 1.4e-06 9.7e-05 6.7e-17 6.8e-17 2.2e-13 5.9e-01 
   73 1.0e+00 -3.3e+00 -3.3e+00 8.5e-05 2.0e-09 2.6e-06 4.4e-06 8.8e-07 4.2e-05 1.8e-17 1.9e-15 2.2e-13 1.0e+00 
   74 1.0e+00 -3.3e+00 -3.3e+00 1.5e-05 1.2e-08 3.4e-06 6.0e-06 9.3e-07 5.4e-05 1.4e-16 1.4e-16 1.3e-13 5.9e-01 
   75 1.0e+00 -3.3e+00 -3.3e+00 5.3e-05 6.7e-09 9.7e-07 1.7e-06 1.7e-06 8.8e-05 1.6e-17 6.3e-17 1.3e-13 1.0e+00 
   76 1.0e+00 -3.3e+00 -3.3e+00 1.5e-05 5.0e-09 3.1e-06 5.4e-06 1.2e-06 9.1e-05 4.4e-17 4.5e-17 8.0e-14 5.9e-01 
   77 1.0e+00 -3.3e+00 -3.3e+00 1.1e-04 3.5e-08 1.5e-06 2.7e-06 3.5e-06 1.9e-04 2.3e-17 2.8e-17 8.0e-14 1.0e+00 
   78 1.0e+00 -3.3e+00 -3.3e+00 3.7e-05 5.0e-09 2.4e-06 4.2e-06 3.5e-06 2.3e-04 1.4e-17 1.4e-17 4.8e-14 5.9e-01 
   79 1.0e+00 -3.3e+00 -3.3e+00 1.2e-04 5.0e-08 7.1e-07 1.2e-06 6.8e-06 4.0e-04 6.9e-18 6.9e-18 4.8e-14 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   80 1.0e+00 -3.3e+00 -3.3e+00 4.8e-05 1.0e-09 2.1e-06 3.7e-06 5.0e-06 4.2e-04 6.0e-18 6.1e-18 2.9e-14 5.9e-01 
   81 1.0e+00 -3.3e+00 -3.3e+00 1.7e-04 8.3e-08 8.8e-07 1.5e-06 1.4e-05 8.7e-04 2.5e-18 2.6e-18 2.9e-14 1.0e+00 
   82 1.0e+00 -3.3e+00 -3.3e+00 7.0e-05 5.5e-09 1.7e-06 3.0e-06 1.3e-05 1.0e-03 1.5e-18 1.5e-18 1.7e-14 5.9e-01 
   83 1.0e+00 -3.3e+00 -3.3e+00 2.0e-04 1.2e-07 4.8e-07 8.4e-07 2.8e-05 1.8e-03 9.2e-19 9.3e-19 1.7e-14 1.0e+00 
   84 1.0e+00 -3.3e+00 -3.3e+00 9.2e-05 2.1e-08 1.5e-06 2.6e-06 2.0e-05 1.9e-03 5.5e-19 5.6e-19 1.0e-14 5.9e-01 
   85 1.0e+00 -3.3e+00 -3.3e+00 8.9e-05 3.3e-09 6.8e-07 1.2e-06 1.1e-05 7.9e-04 1.3e-19 3.0e-19 1.0e-14 1.0e+00 
   86 1.0e+00 -3.3e+00 -3.3e+00 3.1e-05 3.4e-08 3.1e-07 5.4e-07 1.1e-05 9.4e-04 2.1e-18 2.1e-18 1.0e-14 5.9e-01 
   87 1.0e+00 -3.3e+00 -3.3e+00 1.6e-05 2.5e-08 1.3e-06 2.2e-06 2.1e-06 2.2e-04 1.5e-17 1.6e-17 6.2e-15 5.9e-01 
   88 1.0e+00 -3.3e+00 -3.3e+00 1.5e-05 1.6e-08 4.9e-06 8.5e-06 1.4e-06 1.0e-04 2.6e-17 2.6e-17 6.2e-15 5.9e-01 
   89 1.0e+00 -3.3e+00 -3.3e+00 1.0e-05 1.8e-08 3.1e-06 5.3e-06 4.8e-06 2.3e-04 5.8e-18 7.7e-18 6.2e-15 9.0e-01 
   90 1.0e+00 -3.3e+00 -3.3e+00 8.8e-06 1.3e-08 1.2e-06 2.1e-06 5.4e-06 3.0e-04 2.6e-18 5.4e-17 6.2e-15 6.6e-01 
   91 1.0e+00 -3.3e+00 -3.3e+00 8.4e-06 7.2e-09 1.1e-05 1.8e-05 9.3e-07 6.7e-05 1.8e-17 1.8e-17 6.2e-15 5.9e-01 
   92 1.0e+00 -3.3e+00 -3.3e+00 7.9e-06 6.9e-09 1.2e-07 2.0e-07 5.2e-06 1.9e-04 2.5e-18 6.1e-18 6.2e-15 1.0e+00 
   93 1.0e+00 -3.3e+00 -3.3e+00 8.0e-06 3.1e-09 1.6e-04 2.8e-04 9.9e-08 1.5e-05 9.3e-17 8.3e-17 3.7e-15 5.9e-01 
   94 1.0e+00 -3.3e+00 -3.3e+00 9.3e-06 1.9e-10 1.9e-05 3.2e-05 3.2e-07 8.3e-05 2.7e-18 1.1e-16 3.7e-15 1.0e+00 
   95 1.0e+00 -3.3e+00 -3.3e+00 5.7e-06 3.3e-09 2.1e-07 3.6e-07 4.9e-06 1.6e-04 1.8e-18 8.0e-18 3.7e-15 1.0e+00 
   96 1.0e+00 -3.3e+00 -3.3e+00 6.7e-06 1.5e-09 1.9e-04 3.3e-04 9.8e-08 1.2e-05 6.5e-17 6.5e-17 2.2e-15 5.9e-01 
   97 1.0e+00 -3.3e+00 -3.3e+00 6.5e-06 6.3e-11 1.5e-05 2.6e-05 2.6e-07 6.0e-05 1.7e-18 1.2e-16 2.2e-15 1.0e+00 
   98 1.0e+00 -3.3e+00 -3.3e+00 6.1e-06 1.3e-09 1.3e-05 2.3e-05 2.9e-06 9.9e-05 1.8e-18 5.3e-18 2.2e-15 9.0e-01 
   99 1.0e+00 -3.3e+00 -3.3e+00 6.1e-06 1.4e-09 5.9e-06 1.0e-05 4.0e-06 1.4e-04 9.6e-19 5.4e-16 2.2e-15 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  100 1.0e+00 -3.3e+00 -3.3e+00 6.2e-06 4.0e-10 4.8e-06 8.4e-06 3.7e-06 1.7e-04 2.5e-19 3.2e-18 2.2e-15 1.0e+00 
  101 1.0e+00 -3.3e+00 -3.3e+00 6.2e-06 3.9e-10 5.8e-08 9.1e-08 4.9e-06 2.4e-04 1.6e-19 3.7e-18 2.2e-15 1.0e+00 
  102 1.0e+00 -3.3e+00 -3.3e+00 6.2e-06 2.3e-10 5.7e-05 9.8e-05 8.9e-08 1.9e-05 2.3e-17 2.3e-17 1.3e-15 5.9e-01 
  103 1.0e+00 -3.3e+00 -3.3e+00 8.0e-06 1.0e-09 3.4e-06 5.9e-06 9.7e-06 2.2e-04 4.0e-19 1.3e-17 1.3e-15 1.0e+00 
  104 1.0e+00 -3.3e+00 -3.3e+00 5.6e-06 9.9e-10 2.8e-07 4.8e-07 2.7e-06 1.4e-04 9.7e-19 1.4e-18 1.3e-15 1.0e+00 
  105 1.0e+00 -3.3e+00 -3.3e+00 5.9e-06 5.3e-10 4.6e-05 8.0e-05 1.8e-07 2.0e-05 1.7e-17 4.4e-17 1.0e-15 5.9e-01 
  106 1.0e+00 -3.3e+00 -3.3e+00 6.1e-06 1.6e-09 2.7e-06 4.7e-06 5.8e-06 1.4e-04 7.8e-19 8.1e-18 1.0e-15 1.0e+00 
  107 1.0e+00 -3.3e+00 -3.3e+00 5.9e-06 2.9e-10 1.1e-06 2.0e-06 1.6e-06 9.0e-05 1.4e-18 2.5e-18 1.0e-15 6.6e-01 
  108 1.0e+00 -3.3e+00 -3.3e+00 5.8e-06 1.7e-10 3.1e-07 5.4e-07 1.4e-06 1.0e-04 6.0e-19 6.3e-18 1.0e-15 7.3e-01 
  109 1.0e+00 -3.3e+00 -3.3e+00 5.8e-06 1.7e-10 7.1e-05 1.2e-04 1.9e-07 2.1e-05 1.3e-17 1.5e-17 1.0e-15 5.9e-01 
  110 1.0e+00 -3.3e+00 -3.3e+00 5.2e-06 6.0e-11 2.3e-05 4.1e-05 1.5e-07 6.3e-05 2.3e-18 9.1e-17 1.0e-15 1.0e+00 
  111 1.0e+00 -3.3e+00 -3.3e+00 5.2e-06 7.7e-10 2.8e-06 4.9e-06 5.9e-06 1.8e-04 3.3e-19 7.3e-18 1.0e-15 1.0e+00 
  112 1.0e+00 -3.3e+00 -3.3e+00 5.3e-06 3.8e-10 2.2e-06 3.9e-06 2.5e-06 1.4e-04 6.7e-19 1.6e-17 1.0e-15 8.1e-01 
  113 1.0e+00 -3.3e+00 -3.3e+00 5.2e-06 2.8e-10 4.9e-08 7.6e-08 3.2e-06 1.9e-04 1.8e-19 2.4e-17 1.0e-15 1.0e+00 
  114 1.0e+00 -3.3e+00 -3.3e+00 5.2e-06 1.6e-10 2.9e-05 5.1e-05 8.3e-08 1.9e-05 1.4e-17 1.4e-17 1.0e-15 5.9e-01 
  115 1.0e+00 -3.3e+00 -3.3e+00 4.8e-06 2.1e-09 5.0e-08 7.6e-08 6.8e-06 1.9e-04 6.2e-19 1.2e-17 1.0e-15 1.0e+00 
  116 1.0e+00 -3.3e+00 -3.3e+00 5.1e-06 9.1e-10 1.7e-04 3.0e-04 3.6e-08 8.4e-06 5.1e-17 5.8e-17 1.0e-15 5.9e-01 
  117 1.0e+00 -3.3e+00 -3.3e+00 4.1e-06 1.7e-10 2.3e-05 4.0e-05 2.5e-07 6.1e-05 4.1e-18 1.3e-16 1.0e-15 1.0e+00 
  118 1.0e+00 -3.3e+00 -3.3e+00 4.6e-06 1.2e-09 1.1e-05 1.9e-05 4.0e-06 1.2e-04 9.3e-19 2.2e-17 1.0e-15 1.0e+00 
  119 1.0e+00 -3.3e+00 -3.3e+00 4.7e-06 2.3e-10 7.1e-06 1.2e-05 3.8e-06 1.4e-04 2.0e-19 5.4e-18 1.0e-15 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  120 1.0e+00 -3.3e+00 -3.3e+00 4.6e-06 4.3e-10 3.8e-06 6.7e-06 4.4e-06 1.9e-04 2.0e-19 1.1e-18 1.0e-15 1.0e+00 
  121 1.0e+00 -3.3e+00 -3.3e+00 4.6e-06 5.2e-10 3.5e-08 5.0e-08 4.6e-06 2.4e-04 1.8e-19 4.2e-18 1.0e-15 1.0e+00 
  122 1.0e+00 -3.3e+00 -3.3e+00 4.6e-06 2.4e-10 6.8e-05 1.2e-04 5.8e-08 1.7e-05 1.1e-17 1.1e-17 1.0e-15 5.9e-01 
  123 1.0e+00 -3.3e+00 -3.3e+00 4.1e-06 6.8e-11 5.2e-08 8.0e-08 2.2e-07 9.6e-05 1.1e-18 2.0e-17 1.0e-15 1.0e+00 
  124 1.0e+00 -3.3e+00 -3.3e+00 4.4e-06 1.3e-11 1.7e-04 3.0e-04 3.9e-08 8.7e-06 4.2e-17 4.3e-17 1.0e-15 5.9e-01 
  125 1.0e+00 -3.3e+00 -3.3e+00 3.1e-06 6.5e-11 9.4e-08 1.6e-07 2.5e-07 6.2e-05 2.0e-18 1.6e-16 1.0e-15 1.0e+00 
  126 1.0e+00 -3.3e+00 -3.3e+00 3.9e-06 5.3e-11 4.6e-04 7.9e-04 2.8e-08 4.7e-06 9.7e-16 2.0e-15 1.0e-15 5.9e-01 
  127 1.0e+00 -3.3e+00 -3.3e+00 1.5e-06 2.3e-10 2.1e-05 3.6e-05 3.0e-07 4.2e-05 6.9e-18 3.8e-16 1.0e-15 1.0e+00 
  128 1.0e+00 -3.3e+00 -3.3e+00 2.9e-06 5.0e-10 1.9e-05 3.3e-05 1.7e-06 5.3e-05 3.5e-18 2.0e-17 1.0e-15 7.3e-01 
  129 1.0e+00 -3.3e+00 -3.3e+00 3.2e-06 8.1e-10 6.1e-08 1.0e-07 2.5e-06 7.8e-05 1.6e-18 9.9e-18 1.0e-15 1.0e+00 
  130 1.0e+00 -3.3e+00 -3.3e+00 3.4e-06 3.5e-10 5.3e-04 9.1e-04 2.2e-08 4.2e-06 8.5e-17 9.0e-17 1.0e-15 5.9e-01 
  131 1.0e+00 -3.3e+00 -3.3e+00 1.4e-07 5.9e-10 8.0e-06 1.4e-05 3.5e-07 4.5e-05 1.3e-17 8.1e-16 1.0e-15 1.0e+00 
