
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem beam7 from pass dataset ...
[Matrices A]
	block 1: 164649 x 58499, norm  = 2.4187e+02, sparcity = 1.2077e-05
	block 2: 164649 x 106150, norm  = 3.9903e+02, sparcity = 9.1103e-06
	block 3: 164649 x 504, norm  = 6.5748e+02, sparcity = 1.7945e-01
	total: 164649 x 165153, norm = 8.0623e+02, sparcity = 5.5777e-04
[Cone]
	block 1: 'l' [ 58499 ]
	block 2: 'b2l' [ 106150 ]
	block 3: 'q' [ 72 72 72 72 72 72 72 ]
System_opt = 2
Number of dense rows: 0
Number of sparse rows: 111574
Number of dense columns (new At): 474
Number of sparse columns (new At): 223185
Number of non-zero elements in lhs_structure: 31457244
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   19 1.0e-03  1.2e+01 -2.9e+01 9.8e-01 6.2e-06 4.3e-03 6.0e-03 9.6e-06 1.5e-01 6.8e-10 7.2e-10 1.5e-08 8.1e-01 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   20 1.0e-03  1.2e+01 -2.9e+01 9.8e-01 2.0e-06 1.0e-03 1.4e-03 2.5e-05 1.1e-01 2.7e-09 3.1e-09 1.5e-08 1.0e+00 
   21 1.0e-03  1.2e+01 -2.9e+01 9.8e-01 2.9e-07 5.4e-04 7.6e-04 3.2e-06 6.5e-02 8.2e-10 8.3e-10 1.5e-08 1.0e+00 
   22 1.0e-03  1.2e+01 -2.9e+01 9.8e-01 2.8e-08 7.9e-02 1.1e-01 6.2e-07 4.2e-02 1.0e-10 1.0e-10 8.7e-09 1.0e+00 
   23 1.0e-03  1.2e+01 -1.3e+01 9.6e-01 1.5e-05 2.5e-02 3.5e-02 7.2e-05 3.5e-01 5.5e-11 5.0e-11 8.7e-09 1.0e+00 
   24 1.0e-03  1.2e+01 -1.3e+01 9.6e-01 8.2e-06 4.6e-03 6.3e-03 7.5e-05 2.2e-01 1.8e-09 2.5e-09 8.7e-09 1.0e+00 
   25 1.0e-03  1.2e+01 -1.3e+01 9.6e-01 3.9e-06 4.5e-03 6.2e-03 5.8e-06 1.3e-01 8.5e-10 9.1e-10 8.7e-09 5.9e-01 
   26 1.0e-03  1.2e+01 -1.3e+01 9.6e-01 4.8e-07 1.1e-03 1.5e-03 4.4e-06 9.0e-02 3.3e-10 3.5e-10 8.7e-09 1.0e+00 
   27 1.0e-03  1.2e+01 -1.3e+01 9.6e-01 6.5e-08 2.6e-04 3.6e-04 1.5e-06 5.5e-02 4.7e-10 4.8e-10 8.7e-09 1.0e+00 
   28 1.0e-03  1.2e+01 -1.3e+01 9.6e-01 1.9e-09 5.0e-02 6.9e-02 4.7e-08 3.3e-02 5.1e-11 5.1e-11 5.2e-09 1.0e+00 
   29 1.0e-03  1.1e+01 -3.7e+00 9.4e-01 5.3e-06 1.4e-02 2.0e-02 3.8e-05 2.8e-01 4.1e-11 3.9e-11 5.2e-09 1.0e+00 
   30 1.0e-03  1.1e+01 -3.8e+00 9.4e-01 3.8e-06 9.5e-04 1.3e-03 6.5e-05 1.7e-01 7.5e-10 1.2e-09 5.2e-09 1.0e+00 
   31 1.0e-03  1.1e+01 -3.7e+00 9.4e-01 1.1e-06 8.8e-04 1.2e-03 6.0e-06 9.2e-02 5.5e-10 6.0e-10 5.2e-09 8.1e-01 
   32 1.0e-03  1.1e+01 -3.7e+00 9.4e-01 7.7e-08 4.3e-04 5.9e-04 1.8e-06 6.4e-02 1.2e-09 1.3e-09 5.2e-09 1.0e+00 
   33 1.0e-03  1.1e+01 -3.7e+00 9.4e-01 1.8e-09 7.8e-05 1.1e-04 1.4e-07 4.2e-02 2.1e-11 2.1e-11 5.2e-09 1.0e+00 
   34 1.0e-03  1.1e+01 -3.7e+00 9.4e-01 3.8e-11 3.1e-02 4.3e-02 9.5e-09 2.5e-02 4.0e-12 4.0e-12 3.1e-09 1.0e+00 
   35 1.0e-03  1.1e+01  2.0e+00 6.5e-01 2.1e-06 8.5e-03 1.2e-02 2.0e-05 2.2e-01 1.5e-11 1.4e-11 3.1e-09 1.0e+00 
   36 1.0e-03  1.1e+01  1.9e+00 6.5e-01 1.6e-06 7.6e-04 1.1e-03 4.5e-05 1.4e-01 2.6e-09 4.1e-09 3.1e-09 1.0e+00 
   37 1.0e-03  1.1e+01  2.0e+00 6.5e-01 1.2e-07 5.7e-04 7.9e-04 2.4e-06 7.6e-02 2.9e-10 3.1e-10 3.1e-09 1.0e+00 
   38 1.0e-03  1.1e+01  2.0e+00 6.5e-01 3.7e-09 1.4e-04 1.9e-04 3.0e-07 5.2e-02 5.8e-11 5.9e-11 3.1e-09 1.0e+00 
   39 1.0e-03  1.1e+01  2.0e+00 6.5e-01 9.5e-11 2.5e-05 3.4e-05 2.0e-08 3.1e-02 4.0e-12 4.0e-12 3.1e-09 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   40 1.0e-03  1.1e+01  2.0e+00 6.5e-01 2.3e-12 2.0e-02 2.7e-02 2.5e-09 1.9e-02 2.2e-13 2.2e-13 1.9e-09 1.0e+00 
   41 1.0e-03  1.1e+01  5.3e+00 3.1e-01 8.6e-07 6.5e-03 9.2e-03 1.1e-05 1.8e-01 3.0e-12 2.9e-12 1.9e-09 1.0e+00 
   42 1.0e-03  1.1e+01  5.3e+00 3.2e-01 6.1e-07 7.5e-04 1.0e-03 2.4e-05 1.1e-01 2.4e-09 3.5e-09 1.9e-09 1.0e+00 
   43 1.0e-03  1.1e+01  5.3e+00 3.2e-01 1.4e-07 5.6e-04 7.8e-04 1.2e-06 6.4e-02 8.8e-11 9.2e-11 1.9e-09 8.1e-01 
   44 1.0e-03  1.1e+01  5.3e+00 3.2e-01 1.0e-08 1.4e-04 1.9e-04 1.7e-06 3.1e-01 4.8e-12 4.8e-12 1.9e-09 1.0e+00 
   45 1.0e-03  1.1e+01  5.3e+00 3.2e-01 2.6e-10 3.1e-05 4.3e-05 1.2e-07 1.9e-01 2.8e-13 2.8e-13 1.9e-09 1.0e+00 
   46 1.0e-03  1.1e+01  5.3e+00 3.2e-01 1.0e-11 1.2e-02 1.7e-02 1.9e-08 1.1e-01 3.6e-14 3.6e-14 1.1e-09 1.0e+00 
   47 1.0e-03  1.1e+01  7.4e+00 1.7e-01 3.3e-07 5.5e-03 7.6e-03 5.5e-06 1.4e-01 2.2e-12 2.2e-12 1.1e-09 1.0e+00 
   48 1.0e-03  1.1e+01  7.3e+00 1.7e-01 2.7e-07 4.8e-04 6.7e-04 1.4e-05 9.3e-02 6.2e-10 8.8e-10 1.1e-09 1.0e+00 
   49 1.0e-03  1.1e+01  7.4e+00 1.7e-01 1.4e-08 1.2e-04 1.7e-04 5.9e-07 5.1e-02 2.2e-10 2.2e-10 1.1e-09 1.0e+00 
   50 1.0e-03  1.1e+01  7.4e+00 1.7e-01 2.7e-10 1.6e-05 2.2e-05 2.9e-08 3.1e-02 1.2e-11 1.2e-11 1.1e-09 1.0e+00 
   51 1.0e-03  1.1e+01  7.4e+00 1.7e-01 4.2e-12 8.0e-03 1.1e-02 1.9e-09 1.8e-02 6.1e-13 6.1e-13 6.8e-10 1.0e+00 
   52 1.0e-03  1.0e+01  8.6e+00 9.6e-02 2.3e-07 5.5e-03 7.6e-03 4.2e-06 1.7e-01 4.0e-12 4.0e-12 6.8e-10 1.0e+00 
   53 1.0e-03  1.1e+01  8.5e+00 9.7e-02 8.9e-07 3.9e-03 5.4e-03 7.2e-05 8.0e-01 2.7e-11 2.8e-11 6.8e-10 1.0e+00 
   54 1.0e-03  1.0e+01  8.6e+00 9.7e-02 1.1e-07 6.7e-04 9.2e-04 5.3e-06 5.4e-01 1.8e-12 1.8e-12 6.8e-10 1.0e+00 
   55 1.0e-03  1.0e+01  8.6e+00 9.7e-02 5.3e-08 1.2e-04 1.6e-04 7.6e-06 2.3e+00 7.1e-14 7.1e-14 6.8e-10 1.0e+00 
   56 1.0e-03  1.0e+01  8.6e+00 9.6e-02 9.2e-09 3.9e-05 5.4e-05 6.1e-07 1.3e+00 6.6e-15 6.6e-15 6.8e-10 1.0e+00 
   57 1.0e-03  1.0e+01  8.6e+00 9.6e-02 2.3e-09 5.2e-03 7.2e-03 1.4e-06 6.0e+00 7.3e-16 1.7e-15 4.1e-10 1.0e+00 
   58 1.0e-03  1.0e+01  9.4e+00 5.2e-02 1.3e-06 8.0e-04 1.1e-03 1.2e-04 6.8e+00 7.9e-15 7.9e-15 4.1e-10 1.0e+00 
   59 1.0e-03  1.0e+01  9.3e+00 5.9e-02 5.4e-07 3.5e-04 4.8e-04 4.4e-05 4.0e+00 3.2e-13 3.2e-13 4.1e-10 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   60 1.0e-03  1.0e+01  9.3e+00 5.9e-02 1.8e-07 2.6e-04 3.6e-04 1.3e-05 2.6e+00 1.7e-13 1.7e-13 4.1e-10 1.0e+00 
   61 1.0e-03  1.0e+01  9.3e+00 5.8e-02 4.6e-08 1.7e-04 2.3e-04 5.0e-06 1.7e+00 1.3e-13 1.3e-13 4.1e-10 1.0e+00 
   62 1.0e-03  1.0e+01  9.3e+00 5.7e-02 9.9e-09 1.6e-04 2.2e-04 1.2e-06 5.0e-01 2.9e-13 2.9e-13 4.1e-10 1.0e+00 
   63 1.0e-03  1.0e+01  9.3e+00 5.6e-02 8.1e-09 3.5e-03 4.8e-03 1.1e-06 1.5e-01 3.2e-11 3.2e-11 2.4e-10 5.9e-01 
   64 1.0e-03  1.0e+01  9.7e+00 3.3e-02 7.1e-08 3.3e-03 4.6e-03 1.8e-06 1.4e-01 3.9e-12 3.9e-12 2.4e-10 1.0e+00 
   65 1.0e-03  1.0e+01  9.7e+00 3.3e-02 5.7e-07 2.7e-04 3.8e-04 3.1e-05 7.1e-01 4.0e-12 4.1e-12 2.4e-10 1.0e+00 
   66 1.0e-03  1.0e+01  9.7e+00 3.3e-02 2.3e-08 1.5e-04 2.1e-04 1.6e-06 3.8e-01 1.4e-12 1.4e-12 2.4e-10 1.0e+00 
   67 1.0e-03  1.0e+01  9.7e+00 3.3e-02 1.7e-09 9.4e-06 1.3e-05 3.9e-07 2.5e-01 6.7e-13 6.7e-13 2.4e-10 1.0e+00 
   68 1.0e-03  1.0e+01  9.7e+00 3.3e-02 4.9e-12 2.3e-03 3.2e-03 1.4e-08 1.3e-01 1.6e-13 1.6e-13 1.5e-10 1.0e+00 
   69 1.0e-03  1.0e+01  1.0e+01 1.9e-02 2.0e-08 1.8e-03 2.5e-03 5.6e-07 7.0e-02 2.9e-12 2.9e-12 1.5e-10 1.0e+00 
   70 1.0e-03  1.0e+01  1.0e+01 2.0e-02 4.6e-08 1.9e-04 2.6e-04 8.8e-06 3.4e-01 1.0e-11 1.1e-11 1.5e-10 1.0e+00 
   71 1.0e-03  1.0e+01  1.0e+01 1.9e-02 6.8e-10 1.7e-05 2.3e-05 2.0e-07 1.9e-01 7.8e-13 7.8e-13 1.5e-10 1.0e+00 
   72 1.0e-03  1.0e+01  1.0e+01 1.9e-02 1.0e-11 1.5e-03 2.1e-03 1.6e-08 1.0e-01 1.5e-13 1.5e-13 8.8e-11 1.0e+00 
   73 1.0e-03  1.0e+01  1.0e+01 1.2e-02 1.5e-08 1.3e-03 1.8e-03 6.4e-07 1.2e-01 5.5e-13 5.5e-13 8.8e-11 9.0e-01 
   74 1.0e-03  1.0e+01  1.0e+01 1.2e-02 6.5e-08 6.0e-04 8.3e-04 6.7e-06 5.7e-01 7.7e-13 7.8e-13 8.8e-11 1.0e+00 
   75 1.0e-03  1.0e+01  1.0e+01 1.2e-02 8.1e-09 4.3e-04 6.0e-04 9.4e-07 3.7e-01 3.4e-13 3.4e-13 8.8e-11 1.0e+00 
   76 1.0e-03  1.0e+01  1.0e+01 1.2e-02 5.7e-09 8.8e-05 1.2e-04 3.2e-06 1.8e+00 7.5e-15 7.5e-15 8.8e-11 1.0e+00 
   77 1.0e-03  1.0e+01  1.0e+01 1.2e-02 8.9e-10 2.3e-05 3.1e-05 4.5e-07 1.1e+00 7.4e-16 7.4e-16 8.8e-11 1.0e+00 
   78 1.0e-03  1.0e+01  1.0e+01 1.2e-02 3.9e-11 1.0e-03 1.4e-03 8.1e-08 6.5e-01 1.1e-15 1.1e-15 5.3e-11 1.0e+00 
   79 1.0e-03  1.0e+01  1.0e+01 7.0e-03 4.9e-08 6.5e-04 9.0e-04 2.5e-06 6.6e-01 4.1e-14 4.1e-14 5.3e-11 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   80 1.0e-03  1.0e+01  1.0e+01 7.0e-03 1.7e-08 9.3e-05 1.3e-04 2.1e-06 4.4e-01 3.3e-13 3.3e-13 5.3e-11 1.0e+00 
   81 1.0e-03  1.0e+01  1.0e+01 7.0e-03 1.6e-09 2.1e-05 3.0e-05 2.4e-07 2.6e-01 3.8e-13 3.8e-13 5.3e-11 1.0e+00 
   82 1.0e-03  1.0e+01  1.0e+01 6.9e-03 8.9e-11 4.9e-06 6.8e-06 5.5e-08 1.5e-01 2.7e-13 2.7e-13 5.3e-11 1.0e+00 
   83 1.0e-03  1.0e+01  1.0e+01 6.9e-03 1.4e-12 6.7e-04 9.2e-04 2.9e-09 4.0e-02 9.1e-14 9.1e-14 3.2e-11 1.0e+00 
   84 1.0e-03  1.0e+01  1.0e+01 4.1e-03 2.9e-09 6.1e-04 8.4e-04 1.2e-07 4.6e-02 5.6e-13 5.6e-13 3.2e-11 1.0e+00 
   85 1.0e-03  1.0e+01  1.0e+01 4.2e-03 5.5e-09 9.1e-05 1.3e-04 1.2e-06 2.3e-01 6.2e-13 6.2e-13 3.2e-11 1.0e+00 
   86 1.0e-03  1.0e+01  1.0e+01 4.1e-03 1.2e-10 1.9e-05 2.7e-05 7.0e-08 1.3e-01 9.4e-14 9.4e-14 3.2e-11 1.0e+00 
   87 1.0e-03  1.0e+01  1.0e+01 4.1e-03 3.9e-12 5.1e-06 7.1e-06 8.6e-09 7.9e-02 3.7e-14 3.7e-14 3.2e-11 1.0e+00 
   88 1.0e-03  1.0e+01  1.0e+01 4.1e-03 1.5e-13 4.3e-04 5.9e-04 6.8e-10 2.1e-02 8.6e-15 8.6e-15 1.9e-11 1.0e+00 
   89 1.0e-03  1.0e+01  1.0e+01 2.6e-03 5.8e-10 3.7e-04 5.2e-04 3.9e-08 2.3e-02 5.7e-13 5.7e-13 1.9e-11 9.0e-01 
   90 1.0e-03  1.0e+01  1.0e+01 2.5e-03 8.2e-10 5.2e-05 7.2e-05 2.8e-07 1.1e-01 1.0e-12 1.0e-12 1.9e-11 1.0e+00 
   91 1.0e-03  1.0e+01  1.0e+01 2.5e-03 1.4e-11 1.1e-05 1.5e-05 1.8e-08 6.4e-02 1.6e-13 1.6e-13 1.9e-11 1.0e+00 
   92 1.0e-03  1.0e+01  1.0e+01 2.5e-03 8.2e-13 1.4e-06 1.9e-06 2.5e-09 3.8e-02 9.6e-15 9.6e-15 1.9e-11 1.0e+00 
   93 1.0e-03  1.0e+01  1.0e+01 2.5e-03 9.0e-15 2.8e-04 3.8e-04 9.6e-11 9.4e-03 6.5e-15 6.5e-15 1.1e-11 1.0e+00 
   94 1.0e-03  1.0e+01  1.0e+01 1.7e-03 1.2e-10 2.3e-04 3.2e-04 1.3e-08 1.1e-02 8.0e-13 8.0e-13 1.1e-11 8.1e-01 
   95 1.0e-03  1.0e+01  1.0e+01 1.5e-03 5.5e-11 7.4e-05 1.0e-04 1.0e-08 7.7e-03 4.7e-11 4.9e-11 1.1e-11 1.0e+00 
   96 1.0e-03  1.0e+01  1.0e+01 1.5e-03 1.9e-11 9.2e-06 1.3e-05 1.8e-09 4.8e-03 1.9e-11 1.9e-11 1.1e-11 1.0e+00 
   97 1.0e-03  1.0e+01  1.0e+01 1.5e-03 4.3e-13 2.2e-06 3.0e-06 1.5e-10 2.7e-03 4.3e-13 4.3e-13 1.1e-11 1.0e+00 
   98 1.0e-03  1.0e+01  1.0e+01 1.5e-03 7.3e-14 1.8e-04 2.5e-04 1.1e-11 7.1e-04 7.3e-14 7.3e-14 6.8e-12 1.0e+00 
   99 1.0e-03  1.0e+01  1.0e+01 8.9e-04 2.8e-11 1.0e-04 1.4e-04 6.0e-10 7.7e-04 2.8e-11 2.8e-11 6.8e-12 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  100 1.0e-03  1.0e+01  1.0e+01 8.9e-04 6.3e-11 1.8e-05 2.5e-05 2.2e-09 3.6e-03 6.1e-11 6.3e-11 6.8e-12 1.0e+00 
  101 1.0e-03  1.0e+01  1.0e+01 8.9e-04 2.9e-12 2.8e-06 3.8e-06 2.2e-10 2.1e-03 2.9e-12 2.9e-12 6.8e-12 1.0e+00 
  102 1.0e-03  1.0e+01  1.0e+01 8.9e-04 3.6e-13 1.2e-04 1.6e-04 9.9e-12 5.3e-04 3.6e-13 3.6e-13 4.1e-12 1.0e+00 
  103 1.0e-03  1.0e+01  1.0e+01 5.4e-04 9.3e-12 2.3e-05 3.2e-05 2.0e-09 3.9e-03 6.2e-13 6.2e-13 4.1e-12 1.0e+00 
  104 1.0e-03  1.0e+01  1.0e+01 5.4e-04 9.7e-13 3.4e-06 4.7e-06 3.4e-09 1.6e-02 2.1e-13 2.2e-13 4.1e-12 1.0e+00 
  105 1.0e-03  1.0e+01  1.0e+01 5.4e-04 2.9e-14 7.4e-05 1.0e-04 9.3e-11 4.1e-03 2.9e-14 2.9e-14 2.5e-12 1.0e+00 
  106 1.0e-03  1.0e+01  1.0e+01 3.2e-04 2.7e-11 1.1e-05 1.5e-05 9.6e-09 2.8e-02 2.3e-14 2.3e-14 2.5e-12 1.0e+00 
  107 1.0e-03  1.0e+01  1.0e+01 3.2e-04 3.4e-12 1.4e-06 1.9e-06 9.8e-09 1.1e-01 5.8e-15 5.8e-15 2.5e-12 1.0e+00 
  108 1.0e-03  1.0e+01  1.0e+01 3.2e-04 1.7e-14 4.9e-05 6.7e-05 2.8e-10 2.8e-02 2.0e-15 2.0e-15 1.5e-12 1.0e+00 
  109 1.0e-03  1.0e+01  1.0e+01 2.0e-04 7.8e-11 6.4e-06 8.8e-06 4.6e-08 2.0e-01 9.8e-16 9.8e-16 1.5e-12 1.0e+00 
  110 1.0e-03  1.0e+01  1.0e+01 1.9e-04 1.1e-12 8.3e-07 1.1e-06 4.8e-09 1.1e-01 5.3e-15 5.3e-15 1.5e-12 1.0e+00 
  111 1.0e-03  1.0e+01  1.0e+01 1.9e-04 6.4e-15 3.2e-05 4.5e-05 1.8e-10 2.8e-02 1.6e-15 1.6e-15 8.8e-13 1.0e+00 
  112 1.0e-03  1.0e+01  1.0e+01 1.2e-04 2.3e-12 7.7e-06 1.1e-05 1.9e-09 1.2e-02 1.7e-14 1.7e-14 8.8e-13 1.0e+00 
  113 1.0e-03  1.0e+01  1.0e+01 1.2e-04 2.3e-13 2.0e-06 2.7e-06 2.5e-09 5.2e-02 1.1e-15 1.1e-15 8.8e-13 1.0e+00 
  114 1.0e-03  1.0e+01  1.0e+01 1.2e-04 4.9e-15 2.2e-05 3.0e-05 1.9e-10 1.4e-02 7.0e-17 7.0e-17 5.3e-13 1.0e+00 
  115 1.0e-03  1.0e+01  1.0e+01 7.0e-05 7.3e-12 4.0e-06 5.5e-06 9.5e-09 8.7e-02 1.0e-15 1.0e-15 5.3e-13 1.0e+00 
  116 1.0e-03  1.0e+01  1.0e+01 7.0e-05 6.4e-13 6.1e-07 8.4e-07 9.6e-09 3.7e-01 2.0e-16 2.0e-16 5.3e-13 1.0e+00 
  117 1.0e-03  1.0e+01  1.0e+01 6.9e-05 7.0e-15 1.5e-05 2.1e-05 4.4e-10 9.1e-02 2.3e-17 2.3e-17 3.2e-13 1.0e+00 
  118 1.0e-03  1.0e+01  1.0e+01 4.2e-05 1.5e-12 3.1e-06 4.3e-06 2.9e-09 3.8e-02 1.9e-15 1.9e-15 3.2e-13 1.0e+00 
  119 1.0e-03  1.0e+01  1.0e+01 4.2e-05 1.5e-13 4.1e-07 5.6e-07 3.3e-09 1.6e-01 3.4e-16 3.4e-16 3.2e-13 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  120 1.0e-03  1.0e+01  1.0e+01 4.2e-05 1.4e-15 1.1e-05 1.5e-05 1.3e-10 3.9e-02 1.3e-17 1.3e-17 1.9e-13 1.0e+00 
  121 1.0e-03  1.0e+01  1.0e+01 2.6e-05 4.8e-12 2.0e-06 2.8e-06 1.5e-08 2.7e-01 3.9e-17 3.9e-17 1.9e-13 1.0e+00 
  122 1.0e-03  1.0e+01  1.0e+01 2.5e-05 5.6e-13 2.7e-07 3.8e-07 1.6e-08 1.2e+00 6.9e-18 6.9e-18 1.9e-13 1.0e+00 
  123 1.0e-03  1.0e+01  1.0e+01 2.5e-05 9.0e-15 7.7e-06 1.1e-05 6.5e-10 2.8e-01 9.5e-18 9.5e-18 1.1e-13 1.0e+00 
  124 1.0e-03  1.0e+01  1.0e+01 1.5e-05 1.1e-12 1.6e-06 2.1e-06 4.8e-09 1.2e-01 1.5e-16 1.5e-16 1.1e-13 1.0e+00 
  125 1.0e-03  1.0e+01  1.0e+01 1.5e-05 1.2e-13 2.3e-07 3.2e-07 5.6e-09 5.1e-01 1.2e-17 1.2e-17 1.1e-13 1.0e+00 
  126 1.0e-03  1.0e+01  1.0e+01 1.5e-05 1.6e-15 5.6e-06 7.8e-06 2.5e-10 1.3e-01 3.8e-18 3.8e-18 6.9e-14 1.0e+00 
  127 1.0e-03  1.0e+01  1.0e+01 9.5e-06 3.3e-12 1.3e-06 1.7e-06 2.6e-08 8.6e-01 1.3e-17 1.3e-17 6.9e-14 1.0e+00 
  128 1.0e-03  1.0e+01  1.0e+01 9.3e-06 6.1e-13 1.8e-07 2.5e-07 3.4e-08 3.7e+00 5.8e-19 5.8e-19 6.9e-14 1.0e+00 
  129 1.0e-03  1.0e+01  1.0e+01 9.2e-06 1.1e-14 4.2e-06 5.8e-06 1.4e-09 9.2e-01 8.3e-19 8.3e-19 4.1e-14 1.0e+00 
  130 1.0e-03  1.0e+01  1.0e+01 5.6e-06 7.7e-13 9.5e-07 1.3e-06 8.6e-09 3.8e-01 2.6e-17 2.6e-17 4.1e-14 1.0e+00 
  131 1.0e-03  1.0e+01  1.0e+01 5.5e-06 1.1e-13 1.2e-07 1.6e-07 1.2e-08 1.6e+00 6.6e-19 6.6e-19 4.1e-14 1.0e+00 
  132 1.0e-03  1.0e+01  1.0e+01 5.5e-06 2.0e-15 3.2e-06 4.4e-06 4.3e-10 4.0e-01 1.6e-18 1.6e-18 2.5e-14 1.0e+00 
