
                            < M A T L A B (R) >
                  Copyright 1984-2023 The MathWorks, Inc.
                  R2023a (9.14.0.2206163) 64-bit (glnxa64)
                             February 22, 2023

Warning: X does not support locale en_US.UTF-8
 
To get started, type doc.
For product information, visit www.mathworks.com.
 
*************************************************************************************
Solving problem 2013_firLinf from pass dataset ...
[Matrices A]
	block 1: 2001 x 59856, norm  = 2.0591e+04, sparcity = 6.6603e-01
	total: 2001 x 59856, norm = 2.0591e+04, sparcity = 6.6603e-01
[Cone]
	block 1: 'q' [ 3 3 3 3 3 ... 3 3 3 3 3 ]
		(Cartesian product of 19952 cones with sizes ranging from 3 to 3)
System_opt = 2
Number of dense rows: 2001
Number of sparse rows: 0
Number of dense columns (new At): 0
Number of sparse columns (new At): 0
Number of non-zero elements in lhs_structure: 0
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   11 4.0e+02 -5.2e+01 -1.1e-01 9.8e-01 3.4e+01 3.8e-01 1.5e+02 1.4e-02 9.3e-05 9.4e-15 2.6e-12 3.6e-09 1.0e+00 
   12 4.0e+02 -6.4e+00 -4.0e-02 8.6e-01 4.2e+00 3.1e-02 4.0e+00 2.6e-02 3.5e-04 6.0e-15 8.6e-14 2.2e-09 1.0e+00 
   13 4.0e+02 -1.0e-01 -2.2e-03 9.0e-02 6.5e-02 1.4e-02 2.0e+00 1.9e-04 3.9e-05 3.9e-15 2.1e-13 1.3e-09 1.0e+00 
   14 4.0e+02 -1.0e-02 -2.7e-03 7.6e-03 4.2e-03 4.1e-03 7.6e-01 5.4e-04 1.7e-04 6.1e-15 5.6e-14 7.8e-10 1.0e+00 
   15 4.0e+02 -5.2e-03 -1.0e-02 5.2e-03 9.6e-04 2.3e-03 3.1e-01 1.2e-03 7.4e-04 4.3e-15 1.5e-12 7.8e-10 1.0e+00 
   16 4.0e+02 -5.2e-03 -6.2e-03 1.0e-03 3.6e-04 2.2e-03 3.4e-01 8.7e-05 1.1e-04 8.2e-15 3.1e-13 7.8e-10 6.6e-01 
   17 4.0e+02 -4.9e-03 -7.5e-03 2.7e-03 6.3e-05 1.3e-03 2.0e-01 4.6e-04 5.2e-04 2.8e-15 4.0e-15 7.8e-10 1.0e+00 
   18 4.0e+02 -5.9e-03 -5.8e-03 1.3e-04 2.7e-05 2.1e-03 2.4e-01 4.7e-05 7.5e-05 5.7e-15 3.1e-14 7.8e-10 5.9e-01 
   19 4.0e+02 -6.0e-03 -6.3e-03 2.8e-04 5.0e-06 9.6e-04 1.2e-01 2.7e-04 4.0e-04 2.6e-15 2.8e-14 7.8e-10 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   20 4.0e+02 -7.1e-03 -5.6e-03 1.5e-03 2.1e-06 2.8e-03 1.5e-01 2.3e-05 5.5e-05 4.6e-15 6.2e-14 4.7e-10 5.9e-01 
   21 4.0e+02 -7.2e-03 -6.7e-03 4.5e-04 9.6e-07 7.2e-04 9.0e-02 1.3e-04 3.2e-04 1.7e-15 1.8e-14 4.7e-10 1.0e+00 
   22 4.0e+02 -8.1e-03 -6.1e-03 1.9e-03 3.9e-07 3.3e-03 1.5e-01 1.4e-05 4.1e-05 7.8e-15 1.4e-13 4.7e-10 5.9e-01 
   23 4.0e+02 -8.0e-03 -8.1e-03 5.5e-05 9.4e-07 1.0e-03 5.2e-02 1.0e-04 2.5e-04 2.2e-15 2.6e-15 4.7e-10 1.0e+00 
   24 4.0e+02 -8.0e-03 -8.5e-03 4.3e-04 1.2e-06 4.0e-04 1.4e-02 2.2e-04 1.1e-03 5.8e-16 2.4e-15 4.7e-10 1.0e+00 
   25 4.0e+02 -8.2e-03 -7.3e-03 8.8e-04 2.7e-07 3.8e-04 2.5e-02 1.1e-05 1.5e-04 1.0e-14 4.0e-13 4.7e-10 8.1e-01 
   26 4.0e+02 -8.9e-03 -7.1e-03 1.8e-03 1.1e-07 4.4e-03 1.2e-01 2.8e-06 2.2e-05 6.5e-15 1.4e-14 2.8e-10 5.9e-01 
   27 4.0e+02 -8.9e-03 -8.3e-03 6.3e-04 3.1e-07 1.2e-03 4.1e-02 5.2e-05 1.5e-04 2.5e-15 3.9e-14 2.8e-10 1.0e+00 
   28 4.0e+02 -8.9e-03 -8.9e-03 1.9e-05 4.2e-07 3.3e-04 8.6e-03 1.0e-04 6.4e-04 7.3e-16 8.2e-16 2.8e-10 1.0e+00 
   29 4.0e+02 -8.9e-03 -8.2e-03 6.9e-04 1.7e-07 4.9e-04 3.7e-02 4.2e-06 8.3e-05 1.1e-14 5.1e-14 2.8e-10 5.9e-01 
   30 4.0e+02 -8.9e-03 -8.7e-03 2.9e-04 1.7e-07 1.3e-04 1.4e-03 7.4e-05 4.4e-04 5.6e-16 6.3e-16 2.8e-10 1.0e+00 
   31 4.0e+02 -9.0e-03 -8.4e-03 6.5e-04 7.0e-08 3.6e-04 3.1e-02 6.6e-07 5.6e-05 4.4e-15 4.9e-14 2.8e-10 5.9e-01 
   32 4.0e+02 -9.0e-03 -8.3e-03 7.0e-04 6.8e-08 1.3e-04 9.5e-03 4.9e-05 3.2e-04 3.8e-16 4.4e-16 1.7e-10 1.0e+00 
   33 4.0e+02 -9.1e-03 -8.3e-03 8.4e-04 2.8e-08 6.4e-04 1.7e-02 2.8e-06 4.3e-05 1.8e-15 2.2e-15 1.7e-10 5.9e-01 
   34 4.0e+02 -9.1e-03 -8.6e-03 5.5e-04 3.7e-08 1.3e-04 1.1e-02 2.2e-05 2.7e-04 3.6e-16 3.6e-16 1.7e-10 1.0e+00 
   35 4.0e+02 -9.2e-03 -8.5e-03 7.1e-04 1.3e-08 5.3e-04 4.6e-02 2.4e-06 3.3e-05 4.2e-15 4.9e-15 1.7e-10 5.9e-01 
   36 4.0e+02 -9.2e-03 -8.7e-03 5.0e-04 3.8e-08 1.1e-04 7.8e-03 4.0e-05 2.0e-04 6.0e-16 1.8e-15 1.7e-10 1.0e+00 
   37 4.0e+02 -9.3e-03 -8.6e-03 6.7e-04 1.5e-08 8.0e-04 4.2e-02 1.4e-06 2.5e-05 3.8e-15 6.1e-15 1.7e-10 5.9e-01 
   38 4.0e+02 -9.3e-03 -8.8e-03 5.0e-04 2.1e-08 8.6e-05 3.0e-03 2.8e-05 1.6e-04 4.4e-16 3.7e-16 1.0e-10 1.0e+00 
   39 4.0e+02 -9.4e-03 -8.7e-03 6.9e-04 8.5e-09 5.6e-04 5.8e-02 4.7e-07 1.9e-05 3.0e-15 4.3e-15 1.0e-10 5.9e-01 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   40 4.0e+02 -9.4e-03 -8.9e-03 5.4e-04 4.2e-08 1.3e-04 1.2e-02 2.9e-05 1.2e-04 1.6e-15 1.6e-15 1.0e-10 1.0e+00 
   41 4.0e+02 -9.4e-03 -8.9e-03 5.0e-04 1.6e-08 5.9e-05 2.4e-04 3.8e-05 4.9e-04 1.7e-16 1.3e-16 1.0e-10 1.0e+00 
   42 4.0e+02 -9.5e-03 -8.9e-03 5.7e-04 7.0e-09 7.4e-05 1.1e-03 1.8e-07 6.8e-05 9.5e-16 1.8e-15 1.0e-10 5.9e-01 
   43 4.0e+02 -9.6e-03 -8.9e-03 7.1e-04 2.9e-09 2.2e-03 8.5e-02 1.2e-07 1.1e-05 1.2e-14 4.2e-14 1.0e-10 5.9e-01 
   44 4.0e+02 -9.6e-03 -9.7e-03 1.5e-04 1.3e-07 1.1e-04 3.7e-03 2.3e-05 8.3e-05 4.2e-15 4.3e-15 6.1e-11 1.0e+00 
   45 4.0e+02 -9.6e-03 -9.3e-03 3.2e-04 7.8e-09 5.6e-05 4.4e-03 8.2e-06 2.8e-04 5.1e-16 9.2e-16 6.1e-11 1.0e+00 
   46 4.0e+02 -9.6e-03 -9.2e-03 3.7e-04 2.8e-09 4.9e-05 3.2e-03 1.5e-06 4.0e-05 2.6e-15 2.8e-15 6.1e-11 7.3e-01 
   47 4.0e+02 -9.6e-03 -9.2e-03 3.8e-04 1.3e-09 3.8e-05 5.6e-04 5.6e-06 1.9e-04 6.0e-17 5.6e-17 6.1e-11 1.0e+00 
   48 4.0e+02 -9.6e-03 -9.3e-03 3.5e-04 4.8e-10 7.9e-05 6.7e-03 1.9e-07 2.9e-05 2.6e-15 1.3e-14 6.1e-11 5.9e-01 
   49 4.0e+02 -9.7e-03 -9.3e-03 4.3e-04 2.8e-10 2.1e-03 1.0e-01 2.5e-07 4.9e-06 5.0e-15 5.8e-15 6.1e-11 5.9e-01 
   50 4.0e+02 -9.7e-03 -9.8e-03 4.5e-05 3.1e-08 2.7e-04 8.6e-03 1.2e-05 3.7e-05 5.6e-15 5.9e-15 3.7e-11 1.0e+00 
   51 4.0e+02 -9.7e-03 -9.6e-03 1.0e-04 1.1e-08 2.8e-05 2.2e-04 7.6e-06 1.4e-04 5.4e-15 5.5e-15 3.7e-11 1.0e+00 
   52 4.0e+02 -9.8e-03 -9.6e-03 1.6e-04 4.7e-09 6.3e-05 5.3e-03 5.0e-08 1.6e-05 2.9e-15 2.7e-14 3.7e-11 5.9e-01 
   53 4.0e+02 -9.8e-03 -9.6e-03 2.6e-04 1.9e-09 3.9e-03 2.0e-01 1.2e-07 2.8e-06 4.7e-15 7.2e-15 3.7e-11 5.9e-01 
   54 4.0e+02 -9.8e-03 -9.7e-03 1.1e-04 1.4e-08 5.0e-05 1.4e-03 1.3e-05 2.4e-05 7.1e-15 7.3e-15 3.7e-11 1.0e+00 
   55 4.0e+02 -9.8e-03 -9.6e-03 2.3e-04 4.3e-10 4.2e-05 8.6e-04 9.9e-07 6.7e-05 6.2e-16 6.6e-16 3.7e-11 1.0e+00 
   56 4.0e+02 -9.8e-03 -9.6e-03 2.0e-04 8.1e-10 2.0e-05 2.5e-04 3.2e-06 3.3e-04 5.0e-17 5.5e-17 2.2e-11 1.0e+00 
   57 4.0e+02 -9.9e-03 -9.6e-03 2.2e-04 2.3e-11 1.9e-05 1.4e-04 3.7e-07 1.0e-04 5.2e-17 5.7e-17 2.2e-11 1.0e+00 
   58 4.0e+02 -9.9e-03 -9.6e-03 2.3e-04 1.1e-11 6.8e-04 1.4e-02 3.2e-08 1.5e-05 6.2e-16 3.1e-14 2.2e-11 5.9e-01 
   59 4.0e+02 -9.9e-03 -1.0e-02 1.1e-04 2.2e-08 4.0e-05 2.6e-04 8.7e-06 1.2e-04 5.2e-14 5.3e-14 2.2e-11 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   60 4.0e+02 -9.9e-03 -9.8e-03 5.3e-05 9.1e-09 4.3e-05 8.1e-04 4.1e-08 1.3e-05 2.0e-14 2.4e-12 2.2e-11 5.9e-01 
   61 4.0e+02 -9.9e-03 -9.8e-03 1.7e-04 3.7e-09 4.9e-03 2.7e-01 1.8e-08 2.0e-06 1.2e-14 1.6e-14 2.2e-11 5.9e-01 
   62 4.0e+02 -9.9e-03 -1.0e-02 1.9e-04 1.8e-08 2.6e-04 5.7e-03 1.2e-05 1.9e-05 1.9e-15 1.2e-14 1.3e-11 1.0e+00 
   63 4.0e+02 -9.9e-03 -9.9e-03 5.1e-05 2.2e-09 2.9e-05 2.7e-03 2.3e-06 6.3e-05 1.5e-14 1.6e-14 1.3e-11 1.0e+00 
   64 4.0e+02 -9.9e-03 -9.8e-03 8.8e-05 1.8e-09 1.0e-05 2.1e-05 6.5e-06 2.4e-04 1.7e-15 1.7e-15 1.3e-11 1.0e+00 
   65 4.0e+02 -9.9e-03 -9.8e-03 9.4e-05 7.6e-10 3.6e-05 3.7e-03 5.3e-09 1.5e-05 2.7e-16 3.3e-16 7.9e-12 5.9e-01 
   66 4.0e+02 -9.9e-03 -9.8e-03 1.0e-04 3.3e-10 5.5e-05 5.3e-03 2.0e-07 5.7e-06 6.0e-16 6.1e-16 7.9e-12 5.9e-01 
   67 4.0e+02 -9.9e-03 -9.8e-03 1.0e-04 8.4e-11 9.6e-06 1.2e-05 1.3e-06 3.0e-05 1.8e-15 1.8e-15 7.9e-12 1.0e+00 
   68 4.0e+02 -9.9e-03 -9.8e-03 1.0e-04 1.8e-12 9.5e-06 6.8e-05 4.5e-09 5.6e-05 2.9e-16 3.0e-16 4.7e-12 1.0e+00 
   69 4.0e+02 -9.9e-03 -9.8e-03 1.1e-04 1.0e-12 9.5e-06 2.2e-05 1.4e-08 8.6e-06 3.0e-16 3.0e-16 4.7e-12 1.0e+00 
   70 4.0e+02 -1.0e-02 -9.8e-03 1.4e-04 5.6e-13 1.5e-03 1.3e-01 5.4e-10 1.3e-06 8.2e-15 8.7e-15 2.8e-12 5.9e-01 
   71 4.0e+02 -1.0e-02 -1.0e-02 1.0e-04 1.7e-08 2.6e-05 6.7e-04 1.2e-05 2.8e-05 9.6e-14 1.0e-13 2.8e-12 1.0e+00 
   72 4.0e+02 -1.0e-02 -9.9e-03 7.1e-05 1.4e-10 6.7e-06 2.7e-05 6.8e-07 8.1e-05 2.9e-14 3.0e-14 2.8e-12 1.0e+00 
   73 4.0e+02 -1.0e-02 -9.9e-03 7.6e-05 5.6e-11 1.9e-04 3.0e-03 7.1e-09 1.0e-05 1.1e-15 1.1e-15 2.8e-12 5.9e-01 
   74 4.0e+02 -1.0e-02 -1.0e-02 6.7e-05 4.2e-09 1.5e-05 9.7e-05 3.9e-06 1.8e-04 7.0e-15 7.1e-15 2.8e-12 1.0e+00 
   75 4.0e+02 -1.0e-02 -1.0e-02 6.3e-06 1.7e-09 1.4e-04 3.1e-03 1.9e-08 9.2e-06 2.0e-14 2.1e-14 2.8e-12 5.9e-01 
   76 4.0e+02 -1.0e-02 -1.0e-02 4.0e-06 5.7e-10 9.4e-06 3.1e-05 3.1e-06 1.3e-04 2.5e-15 2.5e-15 1.7e-12 1.0e+00 
   77 4.0e+02 -1.0e-02 -9.9e-03 3.0e-05 8.7e-13 4.3e-06 4.0e-05 4.4e-09 6.4e-06 5.5e-15 5.8e-15 1.7e-12 1.0e+00 
   78 4.0e+02 -1.0e-02 -9.9e-03 3.9e-05 4.1e-13 4.6e-04 9.7e-03 1.1e-09 8.5e-07 3.1e-15 3.1e-15 1.7e-12 5.9e-01 
   79 4.0e+02 -1.0e-02 -9.9e-03 2.9e-05 2.8e-10 6.4e-06 7.7e-05 9.6e-07 1.8e-05 6.5e-15 6.5e-15 1.7e-12 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
   80 4.0e+02 -1.0e-02 -9.9e-03 3.8e-05 9.3e-12 4.0e-06 9.2e-06 4.9e-08 2.3e-05 4.1e-15 4.2e-15 1.7e-12 1.0e+00 
   81 4.0e+02 -1.0e-02 -9.9e-03 3.9e-05 3.8e-12 6.8e-06 5.7e-04 1.6e-09 7.0e-06 6.3e-16 6.3e-16 1.0e-12 5.9e-01 
   82 4.0e+02 -1.0e-02 -9.9e-03 4.4e-05 1.3e-12 4.1e-06 1.3e-04 2.3e-08 2.6e-06 4.1e-16 4.2e-16 1.0e-12 1.0e+00 
   83 4.0e+02 -1.0e-02 -9.9e-03 6.2e-05 7.3e-13 5.2e-03 4.0e-01 1.0e-09 3.8e-07 1.4e-14 1.8e-14 1.0e-12 5.9e-01 
   84 4.0e+02 -1.0e-02 -1.0e-02 7.7e-05 3.0e-09 3.9e-04 8.2e-03 4.4e-06 4.8e-06 5.3e-14 5.6e-14 1.0e-12 1.0e+00 
   85 4.0e+02 -1.0e-02 -1.0e-02 1.8e-05 5.7e-10 7.1e-06 3.1e-04 8.1e-07 1.7e-05 4.8e-14 5.3e-14 1.0e-12 1.0e+00 
   86 4.0e+02 -1.0e-02 -1.0e-02 9.2e-06 5.4e-11 1.5e-06 1.1e-05 2.7e-07 5.1e-05 3.4e-15 3.4e-15 1.0e-12 1.0e+00 
   87 4.0e+02 -1.0e-02 -1.0e-02 1.0e-05 2.0e-13 1.4e-06 1.1e-05 2.7e-09 5.6e-06 1.8e-15 1.8e-15 6.1e-13 1.0e+00 
   88 4.0e+02 -1.0e-02 -1.0e-02 1.1e-05 9.7e-14 1.5e-06 2.1e-05 4.1e-10 8.6e-07 1.5e-15 1.5e-15 6.1e-13 5.9e-01 
   89 4.0e+02 -1.0e-02 -1.0e-02 1.8e-05 5.0e-14 2.1e-03 1.4e-01 1.2e-10 1.3e-07 2.3e-14 2.5e-14 6.1e-13 5.9e-01 
   90 4.0e+02 -1.0e-02 -1.0e-02 4.5e-06 2.8e-10 5.3e-06 2.9e-05 1.7e-06 4.2e-06 2.1e-14 2.1e-14 6.1e-13 1.0e+00 
   91 4.0e+02 -1.0e-02 -1.0e-02 1.7e-05 1.6e-13 1.3e-06 3.3e-06 3.6e-09 4.3e-06 7.1e-15 8.1e-15 6.1e-13 1.0e+00 
   92 4.0e+02 -1.0e-02 -1.0e-02 1.8e-05 5.7e-14 1.3e-06 7.6e-06 1.3e-10 1.1e-06 3.4e-16 3.7e-16 3.7e-13 6.6e-01 
   93 4.0e+02 -1.0e-02 -1.0e-02 2.2e-05 2.7e-14 1.5e-04 1.4e-02 5.6e-11 1.7e-07 1.0e-14 1.1e-14 3.7e-13 5.9e-01 
   94 4.0e+02 -1.0e-02 -1.0e-02 2.1e-05 6.8e-12 1.5e-06 2.2e-05 3.3e-07 3.8e-06 1.4e-15 1.4e-15 3.7e-13 1.0e+00 
   95 4.0e+02 -1.0e-02 -1.0e-02 2.2e-05 4.6e-14 1.4e-06 1.4e-05 4.1e-09 4.3e-06 8.2e-16 8.4e-16 3.7e-13 1.0e+00 
   96 4.0e+02 -1.0e-02 -1.0e-02 2.3e-05 2.1e-14 5.6e-04 1.2e-02 4.1e-10 6.4e-07 6.9e-16 6.9e-16 3.7e-13 5.9e-01 
   97 4.0e+02 -1.0e-02 -1.0e-02 1.1e-05 4.8e-10 7.7e-06 1.9e-04 1.1e-06 1.7e-05 1.3e-14 1.3e-14 3.7e-13 1.0e+00 
   98 4.0e+02 -1.0e-02 -1.0e-02 2.0e-05 5.6e-11 1.3e-06 1.8e-05 1.7e-07 4.9e-05 4.0e-15 4.0e-15 2.2e-13 1.0e+00 
   99 4.0e+02 -1.0e-02 -1.0e-02 2.1e-05 2.3e-13 1.2e-06 3.5e-06 4.3e-09 5.3e-06 3.2e-15 3.2e-15 2.2e-13 1.0e+00 
 iter     sig     pobj     dobj  gaporg pinforg dinforg       F    tau1    tau2   CGres  nt_res  smooth    step 
  100 4.0e+02 -1.0e-02 -1.0e-02 2.2e-05 5.2e-15 1.2e-06 5.2e-06 2.4e-10 1.7e-06 8.2e-16 8.1e-16 1.3e-13 1.0e+00 
  101 4.0e+02 -1.0e-02 -1.0e-02 2.4e-05 4.4e-15 1.0e-03 1.0e-01 6.1e-11 2.7e-07 2.5e-15 2.5e-15 1.3e-13 5.9e-01 
  102 4.0e+02 -1.0e-02 -1.0e-02 1.6e-05 1.0e-09 9.1e-06 2.5e-04 2.9e-06 8.0e-06 1.7e-14 1.7e-14 1.3e-13 1.0e+00 
  103 4.0e+02 -1.0e-02 -1.0e-02 2.0e-05 1.8e-11 1.2e-06 2.8e-05 9.2e-08 2.2e-05 6.1e-15 6.3e-15 1.3e-13 1.0e+00 
  104 4.0e+02 -1.0e-02 -1.0e-02 2.0e-05 7.3e-12 1.6e-05 1.6e-03 1.3e-09 1.0e-06 2.4e-15 2.4e-15 1.3e-13 5.9e-01 
  105 4.0e+02 -1.0e-02 -1.0e-02 2.1e-05 3.0e-12 1.3e-04 1.3e-02 1.0e-08 5.5e-07 5.1e-15 5.1e-15 1.3e-13 5.9e-01 
  106 4.0e+02 -1.0e-02 -1.0e-02 2.0e-05 4.0e-12 1.3e-04 5.8e-03 3.0e-07 3.6e-06 3.2e-15 3.2e-15 8.0e-14 5.9e-01 
  107 4.0e+02 -1.0e-02 -1.0e-02 2.4e-05 2.6e-10 2.0e-06 1.4e-04 7.6e-07 1.8e-05 2.1e-14 2.1e-14 8.0e-14 1.0e+00 
  108 4.0e+02 -1.0e-02 -1.0e-02 1.2e-06 2.4e-11 3.1e-07 1.1e-06 1.6e-07 5.2e-05 3.7e-15 3.7e-15 8.0e-14 1.0e+00 
  109 4.0e+02 -1.0e-02 -1.0e-02 1.5e-06 9.9e-12 6.2e-07 1.1e-05 3.5e-10 5.0e-06 1.5e-16 1.5e-16 4.8e-14 5.9e-01 
  110 4.0e+02 -1.0e-02 -1.0e-02 1.6e-06 4.0e-12 2.7e-06 5.7e-05 5.7e-10 8.8e-07 1.8e-15 1.8e-15 4.8e-14 5.9e-01 
  111 4.0e+02 -1.0e-02 -1.0e-02 1.9e-06 1.7e-12 7.9e-06 1.7e-04 3.7e-10 1.8e-07 5.7e-15 5.7e-15 4.8e-14 5.9e-01 
  112 4.0e+02 -1.0e-02 -1.0e-02 2.7e-06 3.9e-14 6.8e-07 4.2e-05 2.3e-10 7.5e-08 2.0e-14 2.0e-14 4.8e-14 1.0e+00 
  113 4.0e+02 -1.0e-02 -1.0e-02 7.6e-06 2.9e-12 3.4e-02 3.4e+00 6.7e-12 3.2e-09 1.8e-12 3.0e-12 4.8e-14 5.9e-01 
  114 4.0e+02 -1.0e-02 -1.0e-02 4.8e-05 3.4e-10 3.7e-05 2.1e-03 7.4e-07 1.7e-07 1.1e-14 1.2e-14 4.8e-14 1.0e+00 
  115 4.0e+02 -1.0e-02 -1.0e-02 4.7e-06 3.2e-11 1.9e-05 4.9e-04 7.5e-09 3.5e-07 1.4e-14 3.4e-14 2.9e-14 9.0e-01 
  116 4.0e+02 -1.0e-02 -1.0e-02 6.4e-08 6.8e-13 1.4e-07 7.0e-06 1.1e-08 1.6e-06 1.3e-14 1.3e-14 2.9e-14 1.0e+00 

time =

  280.1957

iter: 116, time: 2.80e+02
